Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
16107,Benjamin Godard - Victor Hugo,True,35,15,19,17,2,True,True,2025-11-05 09:29:49+00:00,"(48.865983, 2.275725)",Paris,75056
32304,Charcot - Benfleet,True,28,24,3,1,2,True,True,2025-11-05 09:28:17+00:00,"(48.878370277021, 2.440523876268)",Romainville,93063
40001,Hôpital Mondor,True,28,17,10,3,7,True,True,2025-11-05 09:34:09+00:00,"(48.798922410229, 2.4537451531298)",Créteil,94028
9020,Toudouze - Clauzel,True,21,18,3,1,2,True,True,2025-11-05 09:25:14+00:00,"(48.87929591733507, 2.3373600840568547)",Paris,75056
14111,Cassini - Denfert-Rochereau,True,25,8,17,12,5,True,True,2025-11-05 09:28:54+00:00,"(48.837525839067, 2.3360354080796)",Paris,75056
14014,Jourdan - Stade Charléty,True,60,57,2,1,1,True,True,2025-11-05 09:30:54+00:00,"(48.819428333369, 2.3433353751898)",Paris,75056
32017,Basilique,True,22,6,16,9,7,True,True,2025-11-05 09:31:44+00:00,"(48.93626891059109, 2.3588666820200914)",Saint-Denis,93066
11104,Charonne - Robert et Sonia Delaunay,True,20,19,1,0,1,True,True,2025-11-05 09:32:39+00:00,"(48.855907555969, 2.3925706744194)",Paris,75056
6003,Saint-Sulpice,True,21,15,6,2,4,True,True,2025-11-05 09:32:19+00:00,"(48.85165383178419, 2.3308077827095985)",Paris,75056
8026,Messine - Place Du Pérou,True,12,0,12,3,9,True,True,2025-11-05 09:26:05+00:00,"(48.875448033960744, 2.315508019010038)",Paris,75056
5110,Lacépède - Monge,True,23,21,2,0,2,True,True,2025-11-05 09:30:11+00:00,"(48.84389286531899, 2.3519663885235786)",Paris,75056
7002,Vaneau - Sèvres,True,35,25,8,5,3,True,True,2025-11-05 09:34:08+00:00,"(48.848563233059, 2.3204218259346)",Paris,75056
25006,Place Nelson Mandela,True,22,19,2,1,1,True,True,2025-11-05 09:30:42+00:00,"(48.862453313908, 2.1961666225454)",Rueil-Malmaison,92063
6108,Saint-Romain - Cherche-Midi,True,17,14,2,1,1,True,True,2025-11-05 09:31:09+00:00,"(48.84708159081946, 2.321374788880348)",Paris,75056
17041,Guersant - Gouvion-Saint-Cyr,True,36,23,9,2,7,True,True,2025-11-05 09:33:53+00:00,"(48.88287775178599, 2.287667370814871)",Paris,75056
33006,André Karman - République,True,31,27,3,3,0,True,True,2025-11-05 09:32:02+00:00,"(48.91039875761846, 2.3851355910301213)",Aubervilliers,93001
6021,Beaux-Arts - Bonaparte,True,20,0,20,10,10,True,True,2025-11-05 09:33:59+00:00,"(48.856451985396, 2.3348518833518)",Paris,75056
42016,Pierre et Marie Curie - Maurice Thorez,True,27,24,2,0,2,True,True,2025-11-05 09:33:54+00:00,"(48.81580226360801, 2.376804985105991)",Ivry-sur-Seine,94041
13007,Le Brun - Gobelins,True,48,36,10,9,1,True,True,2025-11-05 09:29:42+00:00,"(48.835092787824, 2.3534681351338)",Paris,75056
40011,Bas du Mont-Mesly,True,27,13,14,11,3,True,True,2025-11-05 09:33:28+00:00,"(48.779035118572, 2.4609763908985)",Créteil,94028
42208,Place des Marseillais,True,35,34,1,1,0,True,True,2025-11-05 09:33:44+00:00,"(48.826605522232, 2.4059119927899)",Charenton-le-Pont,94018
21010,Silly - Galliéni,True,25,12,13,13,0,True,True,2025-11-05 09:34:01+00:00,"(48.835583838706, 2.2325500845909)",Boulogne-Billancourt,92012
5016,Thouin - Cardinal Lemoine,True,17,10,7,2,5,True,True,2025-11-05 09:32:05+00:00,"(48.845047166615, 2.3494647851273)",Paris,75056
30002,Jean Rostand - Paul Vaillant Couturier,True,40,19,18,15,3,True,True,2025-11-05 09:33:50+00:00,"(48.908168131015, 2.4530601033354)",Bobigny,93008
8050,Boétie - Ponthieu,True,45,5,40,19,21,True,True,2025-11-05 09:32:02+00:00,"(48.871417284355, 2.3076787590981)",Paris,75056
7003,Square Boucicaut,True,60,21,37,22,15,True,True,2025-11-05 09:34:27+00:00,"(48.851296433665276, 2.325061820447445)",Paris,75056
13101,Croulebarde - Corvisart,True,34,26,8,6,2,True,True,2025-11-05 09:34:21+00:00,"(48.830981659316855, 2.3481646925210953)",Paris,75056
11025,Froment - Bréguet,True,43,9,32,27,5,True,True,2025-11-05 09:34:24+00:00,"(48.8570414504784, 2.37289470306807)",Paris,75056
31024,Romainville - Vaillant-Couturier,True,38,37,1,0,1,True,True,2025-11-05 09:33:24+00:00,"(48.86785, 2.446748)",Montreuil,93048
15047,Morillons - Dantzig,True,52,49,3,0,3,True,True,2025-11-05 09:31:54+00:00,"(48.83310149953933, 2.299380004405976)",Paris,75056
21108,Mairie de Clichy,True,51,44,6,2,4,True,True,2025-11-05 09:32:09+00:00,"(48.903653634661, 2.3059353232384)",Clichy,92024
17026,Jouffroy d'Abbans - Wagram,True,40,32,7,1,6,True,True,2025-11-05 09:32:20+00:00,"(48.881973298352, 2.301132157445)",Paris,75056
19033,Cambrai - Benjamin Constant,True,43,13,30,11,19,True,True,2025-11-05 09:34:08+00:00,"(48.89594736851349, 2.381133802246315)",Paris,75056
12109,Mairie du 12ème,True,30,24,4,2,2,True,True,2025-11-05 09:34:26+00:00,"(48.840855311763, 2.3875549435616)",Paris,75056
21326,Moulin de Pierre - Abbé Grégoire,True,20,19,1,0,1,True,True,2025-11-05 09:34:03+00:00,"(48.822036188382, 2.2754641655975)",Issy-les-Moulineaux,92040
15202,Bracion - Périphérique,True,30,27,3,0,3,True,True,2025-11-05 09:32:05+00:00,"(48.826103771275, 2.3004549373748)",Paris,75056
20143,Ramponeau - Belleville,True,44,37,4,0,4,True,True,2025-11-05 09:32:20+00:00,"(48.871031137596, 2.379056852114)",Paris,75056
14108,Le Brix et Mesmin - Jourdan,True,21,20,1,0,1,True,True,2025-11-05 09:29:52+00:00,"(48.82234096593411, 2.327861653302471)",Paris,75056
43002,Lagny - Victor Basch,True,26,5,21,14,7,True,True,2025-11-05 09:31:21+00:00,"(48.84884147189881, 2.426325418925233)",Vincennes,94080
2022,Saint-Fiacre - Poissonière,True,35,4,31,18,13,True,True,2025-11-05 09:32:37+00:00,"(48.870828911558, 2.3459213599563)",Paris,75056
16138,Saint-Cloud - Hippodrome,True,30,8,21,20,1,True,True,2025-11-05 09:34:19+00:00,"(48.85772148887421, 2.2549109905958176)",Paris,75056
17044,Porte de Saint-Ouen - Bessières,True,42,15,26,20,6,True,True,2025-11-05 09:34:17+00:00,"(48.89792240854517, 2.32851451022192)",Paris,75056
15068,Général Martial Valin - Pont du Garigliano,True,16,0,16,13,3,True,True,2025-11-05 09:32:24+00:00,"(48.83823094269141, 2.270506024360657)",Paris,75056
17025,Chazelles - Courcelles,True,35,30,2,0,2,True,True,2025-11-05 09:28:14+00:00,"(48.879406604954, 2.3034455627202988)",Paris,75056
17048,De Toqueville - Terrasse,True,30,23,5,3,2,True,True,2025-11-05 09:32:39+00:00,"(48.882428, 2.314002)",Paris,75056
21216,Louis Lejeune - Barbès,True,25,22,3,0,3,True,True,2025-11-05 09:32:14+00:00,"(48.81807418981508, 2.3267009854316716)",Montrouge,92049
44010,8 Mai 1945 - 10 Juillet 1940,True,30,10,20,18,2,True,True,2025-11-05 09:34:26+00:00,"(48.784567029674, 2.3979035764933)",Vitry-sur-Seine,94081
22207,Rond-point du Dr Albert Schweitzer,True,22,18,4,1,3,True,True,2025-11-05 09:26:31+00:00,"(48.78980918988166, 2.3143940046429634)",Bagneux,92007
14013,Liard - Amiral Mouchez,True,28,25,2,1,1,True,True,2025-11-05 09:26:54+00:00,"(48.8214169, 2.342167)",Paris,75056
92002,Théâtre des Amandiers - Palais des sports,True,23,2,21,9,12,True,True,2025-11-05 09:28:25+00:00,"(48.892648526839, 2.2136941552162)",Nanterre,92050
13030,Italie - Tolbiac,True,21,16,5,1,4,True,True,2025-11-05 09:31:29+00:00,"(48.82557229464416, 2.3576171323657036)",Paris,75056
31028,Raspail Barbès,True,28,19,9,2,7,True,True,2025-11-05 09:27:02+00:00,"(48.8529945, 2.4247387)",Montreuil,93048
40016,Sarrazins - Saussure,True,22,10,12,7,5,True,True,2025-11-05 09:31:41+00:00,"(48.769626617432, 2.4717841148376)",Créteil,94028
44017,Jules Guesde - Pont du Port à l'Anglais,True,30,11,18,15,3,True,True,2025-11-05 09:34:06+00:00,"(48.79628807093802, 2.417212128639221)",Vitry-sur-Seine,94081
9002,Abbeville - Faubourg Poissonnière,True,14,10,4,1,3,True,True,2025-11-05 09:32:15+00:00,"(48.879223, 2.349147)",Paris,75056
16118,Michel-Ange - Parent de Rosan,True,26,25,1,0,1,True,True,2025-11-05 09:27:59+00:00,"(48.840579923690115, 2.2584119439125065)",Paris,75056
16110,Octave Feuillet - Albéric Magnard,True,21,2,19,11,8,True,True,2025-11-05 09:29:16+00:00,"(48.86106902949534, 2.2730283066630363)",Paris,75056
2017,Caire - Dussoubs,True,40,10,29,23,6,True,True,2025-11-05 09:34:15+00:00,"(48.86785342111862, 2.349364310503006)",Paris,75056
9001,Bellefond - Poissonnière,True,17,17,0,0,0,True,True,2025-11-05 09:32:01+00:00,"(48.87759897050706, 2.348463758826256)",Paris,75056
9008,Tour d'Auvergne - Rodier,True,17,16,0,0,0,True,True,2025-11-05 09:28:46+00:00,"(48.879161, 2.343698)",Paris,75056
10115,Granges aux Belles,True,27,22,3,0,3,True,True,2025-11-05 09:30:55+00:00,"(48.8761373390584, 2.3680844979417)",Paris,75056
8103,Artois - Berri,True,37,1,36,15,21,True,True,2025-11-05 09:31:53+00:00,"(48.87393521240818, 2.3064258322119713)",Paris,75056
10029,Dunkerque - Rocroy,True,24,21,3,2,1,True,True,2025-11-05 09:34:24+00:00,"(48.880726, 2.351464)",Paris,75056
8048,Marceau - Chaillot,True,21,2,19,10,9,True,True,2025-11-05 09:27:51+00:00,"(48.868834023334, 2.2986030816809)",Paris,75056
1001,Quai de l'Horloge - Pont Neuf,True,17,0,17,13,4,True,True,2025-11-05 09:30:54+00:00,"(48.857058739111, 2.3417982839439)",Paris,75056
13118,Regnault - Patay,True,63,15,48,45,3,True,True,2025-11-05 09:32:54+00:00,"(48.82435782216384, 2.377065159380436)",Paris,75056
21328,Verger - Colonel Guichard,True,29,26,2,0,2,True,True,2025-11-05 09:32:56+00:00,"(48.816376985087, 2.2670380088932)",Issy-les-Moulineaux,92040
15112,Vigée-Lebrun - Anselme Payen,True,24,20,3,0,3,True,True,2025-11-05 09:32:57+00:00,"(48.838683941628375, 2.3110422492027287)",Paris,75056
9038,Douai - Bruxelles,True,27,25,0,0,0,True,True,2025-11-05 09:30:49+00:00,"(48.88320784122797, 2.3308449949028507)",Paris,75056
18111,Félix Ziem - Armand Gauthier,True,25,20,4,0,4,True,True,2025-11-05 09:33:08+00:00,"(48.88949630486821, 2.333393658804396)",Paris,75056
17008,Porte Pouchet-Bessières,True,23,21,2,0,2,True,True,2025-11-05 09:30:52+00:00,"(48.8978765, 2.3230632)",Paris,75056
48003,Youri Gagarine - Karl Marx,True,22,21,1,1,0,True,True,2025-11-05 09:27:58+00:00,"(48.78448485079149, 2.35908430069685)",Villejuif,94076
5005,Gay Lussac - Saint-Jacques,True,42,23,19,9,10,True,True,2025-11-05 09:34:26+00:00,"(48.844730256132, 2.3419239448664)",Paris,75056
44015,Rouget de L'isle - Watteau,True,20,15,5,4,1,True,True,2025-11-05 09:28:26+00:00,"(48.778192750803, 2.3963020229163)",Vitry-sur-Seine,94081
21323,Charlot - Stade Gabriel Voisin,True,31,18,13,8,5,True,True,2025-11-05 09:34:10+00:00,"(48.827228120536, 2.268122527474)",Issy-les-Moulineaux,92040
43009,Place Jean-Spire-Lemaître,True,50,45,5,1,4,True,True,2025-11-05 09:32:29+00:00,"(48.8468428626593, 2.452062070369721)",Vincennes,94080
9014,Faubourg Montmartre - La Fayette,True,35,1,34,32,2,True,True,2025-11-05 09:30:41+00:00,"(48.875254549053, 2.3408536612988)",Paris,75056
17032,Jean Oestreicher - Porte de Champerret,True,21,0,21,12,9,True,True,2025-11-05 09:33:32+00:00,"(48.88655580065981, 2.288640439510346)",Paris,75056
